Area;Sampling_time_zolle;Num_leaves_per_bundle;Mean_lenght;;;;;
Miramare;Time1;3;16.13;;;;;
Miramare;Time1;3;15.90;;;;;
Miramare;Time1;3;8.63;;;;;
Miramare;Time1;2;13.75;;;;;
Miramare;Time1;3;9.37;;;;;
Miramare;Time1;3;12.33;;;;;
Miramare;Time1;3;15.83;;;;;
Miramare;Time1;2;8.80;;;;;
Miramare;Time1;2;8.70;;;;;
Miramare;Time1;2;3.80;;;;;
Miramare;Time1;2;8.25;;;;;
Miramare;Time1;2;12.30;;;;;
Miramare;Time1;2;11.95;;;;;
Miramare;Time1;3;10.33;;;;;
Miramare;Time1;2;6.60;;;;;
Miramare;Time1;2;6.55;;;;;
Miramare;Time1;3;9.73;;;;;
Miramare;Time1;3;13.00;;;;;
Miramare;Time1;4;9.33;;;;;
Miramare;Time1;3;11.63;;;;;
Miramare;Time1;3;12.07;;;;;
Miramare;Time1;2;11.20;;;;;
Miramare;Time1;3;11.07;;;;;
Miramare;Time1;3;18.43;;;;;
Miramare;Time1;3;11.67;;;;;
Miramare;Time1;2;7.50;;;;;
Miramare;Time2;4;24.80;;;;;
Miramare;Time2;3;17.03;;;;;
Miramare;Time2;3;22.63;;;;;
Miramare;Time2;4;21.78;;;;;
Miramare;Time2;2;13.75;;;;;
Miramare;Time2;3;15.53;;;;;
Miramare;Time2;4;17.25;;;;;
Miramare;Time2;2;19.90;;;;;
Miramare;Time2;2;10.85;;;;;
Miramare;Time2;4;14.28;;;;;
Miramare;Time2;3;17.17;;;;;
Miramare;Time2;3;11.17;;;;;
Miramare;Time2;2;17.55;;;;;
Miramare;Time2;4;12.90;;;;;
Miramare;Time2;3;20.57;;;;;
Miramare;Time2;4;14.93;;;;;
Miramare;Time2;2;12.90;;;;;
Miramare;Time2;2;12.50;;;;;
Miramare;Time2;3;11.13;;;;;
Miramare;Time2;4;16.00;;;;;
Miramare;Time2;1;14.50;;;;;
Miramare;Time2;4;19.40;;;;;
Miramare;Time2;3;9.57;;;;;
Miramare;Time2;4;17.08;;;;;
Miramare;Time2;3;12.93;;;;;
Miramare;Time2;3;13.80;;;;;
Miramare;Time2;3;22.00;;;;;
Miramare;Time2;3;17.67;;;;;
Miramare;Time2;3;15.23;;;;;
Miramare;Time2;4;15.95;;;;;
Miramare;Time2;3;10.43;;;;;
Miramare;Time2;3;14.77;;;;;
Miramare;Time2;4;13.90;;;;;
Miramare;Time2;3;10.67;;;;;
Miramare;Time2;2;12.00;;;;;
Miramare;Time2;3;10.80;;;;;
Miramare;Time2;2;14.75;;;;;
Miramare;Time2;2;5.15;;;;;
Miramare;Time3;2;20.75;;;;;
Miramare;Time3;3;9.47;;;;;
Miramare;Time3;3;10.03;;;;;
Miramare;Time3;4;9.00;;;;;
Miramare;Time3;2;21.15;;;;;
Miramare;Time3;3;12.77;;;;;
Miramare;Time3;2;21.65;;;;;
Miramare;Time3;3;19.33;;;;;
Miramare;Time3;2;18.85;;;;;
Miramare;Time3;1;27.40;;;;;
Miramare;Time3;1;4.30;;;;;
Miramare;Time3;3;23.53;;;;;
Miramare;Time3;3;22.43;;;;;
Miramare;Time3;3;32.10;;;;;
Miramare;Time3;1;35.30;;;;;
Miramare;Time3;3;22.83;;;;;
Miramare;Time3;4;24.13;;;;;
Miramare;Time3;3;23.13;;;;;
Miramare;Time3;2;32.00;;;;;
Miramare;Time3;2;23.50;;;;;
Miramare;Time3;3;29.73;;;;;
Miramare;Time3;3;22.27;;;;;
Miramare;Time3;3;25.23;;;;;
Miramare;Time3;3;20.43;;;;;
Miramare;Time3;2;8.75;;;;;
Miramare;Time3;3;16.70;;;;;
Miramare;Time3;2;9.95;;;;;
Miramare;Time3;3;10.53;;;;;
Miramare;Time4;2;13.25;;;;;
Miramare;Time4;2;10.00;;;;;
Miramare;Time4;2;7.50;;;;;
Miramare;Time4;1;12.00;;;;;
Miramare;Time4;4;12.25;;;;;
Miramare;Time4;4;12.50;;;;;
Miramare;Time4;2;10.00;;;;;
Miramare;Time4;3;15.50;;;;;
Miramare;Time4;1;6.60;;;;;
Miramare;Time4;3;15.70;;;;;
Miramare;Time4;3;15.00;;;;;
Miramare;Time4;2;17.50;;;;;
Miramare;Time4;3;22.17;;;;;
Miramare;Time4;3;19.33;;;;;
Miramare;Time4;2;17.80;;;;;
Miramare;Time4;1;26.00;;;;;
Miramare;Time4;2;13.00;;;;;
Miramare;Time4;2;7.55;;;;;
Miramare;Time4;2;5.00;;;;;
Miramare;Time4;3;16.67;;;;;
Miramare;Time4;2;7.00;;;;;
Punta Sottile;Time1;2;20.20;;;;;
Punta Sottile;Time1;3;10.13;;;;;
Punta Sottile;Time1;1;17.20;;;;;
Punta Sottile;Time1;2;8.65;;;;;
Punta Sottile;Time1;2;6.10;;;;;
Punta Sottile;Time1;1;2.30;;;;;
Punta Sottile;Time1;1;7.20;;;;;
Punta Sottile;Time1;3;20.07;;;;;
Punta Sottile;Time1;2;15.00;;;;;
Punta Sottile;Time1;2;9.05;;;;;
Punta Sottile;Time1;2;26.20;;;;;
Punta Sottile;Time1;2;12.60;;;;;
Punta Sottile;Time1;2;17.50;;;;;
Punta Sottile;Time1;2;21.60;;;;;
Punta Sottile;Time1;2;4.70;;;;;
Punta Sottile;Time1;2;10.30;;;;;
Punta Sottile;Time1;2;8.60;;;;;
Punta Sottile;Time1;2;11.65;;;;;
Punta Sottile;Time1;1;7.50;;;;;
Punta Sottile;Time1;2;18.05;;;;;
Punta Sottile;Time1;2;11.90;;;;;
Punta Sottile;Time1;2;17.15;;;;;
Punta Sottile;Time1;3;13.23;;;;;
Punta Sottile;Time1;2;9.80;;;;;
Punta Sottile;Time1;1;3.40;;;;;
Punta Sottile;Time1;3;30.23;;;;;
Punta Sottile;Time1;3;19.13;;;;;
Punta Sottile;Time1;3;27.33;;;;;
Punta Sottile;Time1;3;19.03;;;;;
Punta Sottile;Time1;2;26.60;;;;;
Punta Sottile;Time1;1;25.00;;;;;
Punta Sottile;Time1;2;32.70;;;;;
Punta Sottile;Time1;2;20.90;;;;;
Punta Sottile;Time1;2;30.10;;;;;
Punta Sottile;Time1;3;18.97;;;;;
Punta Sottile;Time1;1;3.40;;;;;
Punta Sottile;Time1;2;21.20;;;;;
Punta Sottile;Time1;2;29.60;;;;;
Punta Sottile;Time1;2;25.70;;;;;
Punta Sottile;Time1;2;19.45;;;;;
Punta Sottile;Time1;2;27.20;;;;;
Punta Sottile;Time1;2;20.80;;;;;
Punta Sottile;Time1;3;26.40;;;;;
Punta Sottile;Time1;3;35.00;;;;;
Punta Sottile;Time1;3;31.60;;;;;
Punta Sottile;Time1;2;24.00;;;;;
Punta Sottile;Time1;2;30.00;;;;;
Punta Sottile;Time1;2;29.15;;;;;
Punta Sottile;Time1;2;26.15;;;;;
Punta Sottile;Time1;1;29.00;;;;;
Punta Sottile;Time1;2;26.75;;;;;
Punta Sottile;Time1;2;31.55;;;;;
Punta Sottile;Time1;3;25.57;;;;;
Punta Sottile;Time1;2;27.60;;;;;
Punta Sottile;Time1;2;26.95;;;;;
Punta Sottile;Time1;1;16.20;;;;;
Punta Sottile;Time1;2;27.30;;;;;
Punta Sottile;Time1;3;13.30;;;;;
Punta Sottile;Time1;5;14.76;;;;;
Punta Sottile;Time1;2;15.65;;;;;
Punta Sottile;Time1;4;10.48;;;;;
Punta Sottile;Time1;2;4.80;;;;;
Punta Sottile;Time1;3;11.07;;;;;
Punta Sottile;Time1;2;5.20;;;;;
Punta Sottile;Time1;3;22.50;;;;;
Punta Sottile;Time1;2;5.80;;;;;
Punta Sottile;Time1;2;17.70;;;;;
Punta Sottile;Time1;1;5.10;;;;;
Punta Sottile;Time1;3;13.93;;;;;
Punta Sottile;Time1;3;10.93;;;;;
Punta Sottile;Time1;2;8.00;;;;;
Punta Sottile;Time1;2;13.20;;;;;
Punta Sottile;Time1;3;15.43;;;;;
Punta Sottile;Time1;2;19.15;;;;;
Punta Sottile;Time1;2;11.85;;;;;
Punta Sottile;Time1;2;13.85;;;;;
Punta Sottile;Time1;3;16.80;;;;;
Punta Sottile;Time1;3;13.20;;;;;
Punta Sottile;Time1;2;11.30;;;;;
Punta Sottile;Time1;2;13.15;;;;;
Punta Sottile;Time1;1;15.10;;;;;
Punta Sottile;Time1;2;10.05;;;;;
Punta Sottile;Time1;4;7.55;;;;;
Punta Sottile;Time1;3;13.73;;;;;
Punta Sottile;Time1;3;16.60;;;;;
Punta Sottile;Time1;1;5.60;;;;;
Punta Sottile;Time1;3;14.47;;;;;
Punta Sottile;Time1;2;20.15;;;;;
Punta Sottile;Time1;3;11.43;;;;;
Punta Sottile;Time1;3;13.97;;;;;
Punta Sottile;Time1;3;16.80;;;;;
Punta Sottile;Time1;2;12.10;;;;;
Punta Sottile;Time1;2;16.45;;;;;
Punta Sottile;Time1;1;23.80;;;;;
Punta Sottile;Time1;3;21.30;;;;;
Punta Sottile;Time1;4;3.88;;;;;
Punta Sottile;Time1;2;13.25;;;;;
Punta Sottile;Time1;2;26.70;;;;;
Punta Sottile;Time1;1;25.40;;;;;
Punta Sottile;Time1;3;11.57;;;;;
Punta Sottile;Time1;2;17.30;;;;;
Punta Sottile;Time1;1;21.30;;;;;
Punta Sottile;Time1;2;13.45;;;;;
Punta Sottile;Time1;2;12.05;;;;;
Punta Sottile;Time1;2;18.35;;;;;
Punta Sottile;Time1;3;19.67;;;;;
Punta Sottile;Time1;4;18.00;;;;;
Punta Sottile;Time1;2;16.85;;;;;
Punta Sottile;Time1;2;20.80;;;;;
Punta Sottile;Time1;2;19.55;;;;;
Punta Sottile;Time1;3;17.90;;;;;
Punta Sottile;Time1;2;15.45;;;;;
Punta Sottile;Time1;2;15.20;;;;;
Punta Sottile;Time2;1;3.80;;;;;
Punta Sottile;Time2;3;8.70;;;;;
Punta Sottile;Time2;1;7.20;;;;;
Punta Sottile;Time2;3;2.50;;;;;
Punta Sottile;Time2;3;15.10;;;;;
Punta Sottile;Time2;1;8.30;;;;;
Punta Sottile;Time2;2;3.85;;;;;
Punta Sottile;Time2;2;10.55;;;;;
Punta Sottile;Time2;1;1.30;;;;;
Punta Sottile;Time2;1;7.80;;;;;
Punta Sottile;Time2;3;5.10;;;;;
Punta Sottile;Time2;2;3.70;;;;;
Punta Sottile;Time2;1;2.40;;;;;
Punta Sottile;Time2;1;2.00;;;;;
Punta Sottile;Time2;2;8.10;;;;;
Punta Sottile;Time2;2;3.65;;;;;
Punta Sottile;Time2;1;7.00;;;;;
Punta Sottile;Time2;2;1.30;;;;;
Punta Sottile;Time2;1;10.10;;;;;
Punta Sottile;Time2;2;5.10;;;;;
Punta Sottile;Time2;2;20.35;;;;;
Punta Sottile;Time2;1;2.20;;;;;
Punta Sottile;Time2;4;10.70;;;;;
Punta Sottile;Time2;2;8.75;;;;;
Punta Sottile;Time2;1;2.00;;;;;
Punta Sottile;Time2;1;3.90;;;;;
Punta Sottile;Time2;2;13.60;;;;;
Punta Sottile;Time2;2;3.35;;;;;
Punta Sottile;Time2;2;19.85;;;;;
Punta Sottile;Time2;2;10.75;;;;;
Punta Sottile;Time2;2;13.05;;;;;
Punta Sottile;Time2;2;12.05;;;;;
Punta Sottile;Time2;2;14.55;;;;;
Punta Sottile;Time2;2;12.60;;;;;
Punta Sottile;Time2;1;4.00;;;;;
Punta Sottile;Time2;2;15.15;;;;;
Punta Sottile;Time2;2;2.75;;;;;
Punta Sottile;Time2;3;9.37;;;;;
Punta Sottile;Time2;2;10.90;;;;;
Punta Sottile;Time2;2;8.35;;;;;
Punta Sottile;Time2;2;8.55;;;;;
Punta Sottile;Time2;3;9.73;;;;;
Punta Sottile;Time2;2;10.10;;;;;
Punta Sottile;Time2;2;6.40;;;;;
Punta Sottile;Time2;2;12.15;;;;;
Punta Sottile;Time2;2;3.10;;;;;
Punta Sottile;Time2;3;5.33;;;;;
Punta Sottile;Time2;1;9.50;;;;;
Punta Sottile;Time2;2;13.00;;;;;
Punta Sottile;Time2;3;10.17;;;;;
Punta Sottile;Time2;3;8.93;;;;;
Punta Sottile;Time2;1;11.90;;;;;
Punta Sottile;Time2;2;7.10;;;;;
Punta Sottile;Time2;1;9.70;;;;;
Punta Sottile;Time2;2;9.85;;;;;
Punta Sottile;Time3;2;12.95;;;;;
Punta Sottile;Time3;2;6.60;;;;;
Punta Sottile;Time3;1;2.70;;;;;
Punta Sottile;Time3;2;6.80;;;;;
Punta Sottile;Time3;3;14.23;;;;;
Punta Sottile;Time3;1;3.50;;;;;
Punta Sottile;Time3;2;7.55;;;;;
Punta Sottile;Time3;3;13.67;;;;;
Punta Sottile;Time3;2;3.70;;;;;
Punta Sottile;Time3;1;2.00;;;;;
Punta Sottile;Time3;2;2.60;;;;;
Punta Sottile;Time3;2;6.10;;;;;
Punta Sottile;Time3;2;4.15;;;;;
Punta Sottile;Time3;2;2.05;;;;;
Punta Sottile;Time3;1;7.00;;;;;
Punta Sottile;Time3;1;6.90;;;;;
Punta Sottile;Time3;1;7.80;;;;;
Punta Sottile;Time3;1;0.50;;;;;
Punta Sottile;Time3;1;5.40;;;;;
Punta Sottile;Time3;1;3.20;;;;;
Punta Sottile;Time3;2;4.35;;;;;
Punta Sottile;Time3;2;7.20;;;;;
Punta Sottile;Time3;2;4.25;;;;;
Punta Sottile;Time3;1;17.80;;;;;
Punta Sottile;Time3;1;5.80;;;;;
Punta Sottile;Time3;1;3.90;;;;;
Punta Sottile;Time3;2;10.25;;;;;
Punta Sottile;Time3;1;8.10;;;;;
Punta Sottile;Time3;2;10.75;;;;;
Punta Sottile;Time3;2;4.20;;;;;
Punta Sottile;Time3;2;10.70;;;;;
Punta Sottile;Time3;1;1.10;;;;;
Punta Sottile;Time3;1;1.90;;;;;
Punta Sottile;Time3;1;3.40;;;;;
Punta Sottile;Time3;1;4.30;;;;;
Punta Sottile;Time3;2;5.90;;;;;
Punta Sottile;Time3;3;4.53;;;;;
Punta Sottile;Time3;1;7.80;;;;;
Punta Sottile;Time3;2;5.75;;;;;
Punta Sottile;Time3;2;4.00;;;;;
